Feature,gpt,human
func_words:quite,0.0761730437210222,-0.0761730437210222
punctuation:?,-0.0756531543697457,0.0756531543697457
pos_bigrams:AUX VERB,-0.0756291830024717,0.0756291830024717
pos_unigrams:SYM,0.075403781846831,-0.075403781846831
pos_bigrams:ADJ X,-0.0753178912182828,0.0753178912182828
pos_bigrams:ADJ SYM,-0.0748150216616944,0.0748150216616944
pos_bigrams:PROPN X,-0.0743144610466755,0.0743144610466755
pos_bigrams:CCONJ VERB,-0.0736597317680622,0.0736597317680622
letters:s,0.0735329719904912,-0.0735329719904912
pos_bigrams:PROPN ADP,-0.0730919696278212,0.0730919696278212
pos_bigrams:VERB ADP,0.072872631196571,-0.072872631196571
pos_bigrams:SYM VERB,-0.0728499155915559,0.0728499155915559
pos_bigrams:ADJ PRON,-0.0727550957665145,0.0727550957665145
morph_tags:PronType=Dem,-0.0720391546858152,0.0720391546858152
pos_bigrams:AUX PRON,0.0716889504938498,-0.0716889504938498
dep_labels:aux,-0.0714912728446857,0.0714912728446857
func_words:upon,-0.0713259149404496,0.0713259149404496
func_words:some,0.0712790149577953,-0.0712790149577953
func_words:inside,-0.0709232458689453,0.0709232458689453
dep_labels:parataxis,-0.0708267930701068,0.0708267930701068
pos_bigrams:ADV INTJ,-0.0706506864607269,0.0706506864607269
morph_tags:Definite=Ind,-0.0705071896155648,0.0705071896155648
pos_bigrams:SCONJ SCONJ,0.0704771330144007,-0.0704771330144007
func_words:even,-0.0704163885830302,0.0704163885830302
pos_bigrams:PROPN PUNCT,-0.0702872706685018,0.0702872706685018
pos_bigrams:INTJ SCONJ,-0.0702493331860086,0.0702493331860086
func_words:before,0.0695196549183479,-0.0695196549183479
func_words:all,0.0693867185369877,-0.0693867185369877
pos_bigrams:NUM ADP,-0.0693678579604788,0.0693678579604788
func_words:rather,0.0690429586519872,-0.0690429586519872
pos_bigrams:X AUX,0.0687588426137665,-0.0687588426137665
func_words:toward,-0.0678924579602121,0.0678924579602121
dep_labels:dep,0.067272558369522,-0.067272558369522
pos_bigrams:INTJ NUM,0.0668395703522691,-0.0668395703522691
func_words:who,0.0667861451225929,-0.0667861451225929
pos_bigrams:DET VERB,0.0666744863418455,-0.0666744863418455
pos_bigrams:CCONJ X,-0.0666511726455711,0.0666511726455711
func_words:never,-0.0665663738835378,0.0665663738835378
pos_bigrams:DET NOUN,0.0665082770573195,-0.0665082770573195
pos_bigrams:PART PROPN,-0.0664511262301568,0.0664511262301568
func_words:has,-0.0663784877243131,0.0663784877243131
dep_labels:intj,-0.0659448757790518,0.0659448757790518
func_words:yourselves,0.0657476668232439,-0.0657476668232439
pos_bigrams:AUX X,0.0655814465906951,-0.0655814465906951
pos_bigrams:ADP PROPN,-0.0649299159315231,0.0649299159315231
func_words:sort,-0.0643262234664838,0.0643262234664838
pos_bigrams:ADJ INTJ,-0.0641491409859655,0.0641491409859655
pos_bigrams:ADP ADV,0.0639987037598292,-0.0639987037598292
letters:T,-0.0637231495383069,0.0637231495383069
pos_bigrams:ADV SYM,0.0631956940580475,-0.0631956940580475
morph_tags:Number=Sing,-0.0631110151571311,0.0631110151571311
func_words:late,0.0614444081100179,-0.0614444081100179
pos_bigrams:CCONJ PROPN,-0.0613201729641832,0.0613201729641832
pos_bigrams:ADP CCONJ,-0.0611287220053187,0.0611287220053187
func_words:nor,0.0606063065852955,-0.0606063065852955
letters:O,-0.0602363424418142,0.0602363424418142
pos_bigrams:CCONJ CCONJ,-0.0602181584248708,0.0602181584248708
pos_bigrams:PRON ADJ,0.0599472936191793,-0.0599472936191793
letters:P,-0.0598255616626896,0.0598255616626896
sentences:pseudo-cleft,0.0596244578130644,-0.0596244578130644
func_words:them,-0.0593539364577124,0.0593539364577124
func_words:old,-0.0592058167514306,0.0592058167514306
pos_bigrams:ADV NOUN,0.0582828917106984,-0.0582828917106984
func_words:they,0.0579158413490842,-0.0579158413490842
pos_unigrams:VERB,0.0577162680483862,-0.0577162680483862
morph_tags:Degree=Pos,0.0572830845211405,-0.0572830845211405
func_words:without,0.0568924496479435,-0.0568924496479435
