Feature,human,gpt
pos_bigrams:INTJ INTJ,0.1314491989787887,-0.1314491989787887
func_words:than,0.13121893985251537,-0.13121893985251537
pos_bigrams:NOUN INTJ,-0.13086475395076647,0.13086475395076647
pos_bigrams:PART AUX,0.13060071599425027,-0.13060071599425027
pos_bigrams:ADJ PART,-0.1305585432422796,0.1305585432422796
func_words:okay,0.13043635301970616,-0.13043635301970616
dep_labels:dobj,0.13035917337518269,-0.13035917337518269
func_words:final,0.13034962701167002,-0.13034962701167002
dep_labels:mark,0.13026553532452073,-0.13026553532452073
morph_tags:VerbForm=Inf,-0.1285868890199201,0.1285868890199201
func_words:out,0.12834289713305325,-0.12834289713305325
func_words:more,-0.12829650568531384,0.12829650568531384
pos_bigrams:ADV NUM,0.12722150393195572,-0.12722150393195572
func_words:now,0.12704385038121477,-0.12704385038121477
func_words:be,0.1266996492749858,-0.1266996492749858
pos_bigrams:ADP NOUN,-0.12619627856315493,0.12619627856315493
dep_labels:ccomp,0.1260809725625255,-0.1260809725625255
pos_bigrams:CCONJ NOUN,-0.12426885811517414,0.12426885811517414
pos_bigrams:NOUN PART,0.12425963881586716,-0.12425963881586716
morph_tags:Gender=Masc,0.12356122869189021,-0.12356122869189021
pos_bigrams:AUX NUM,0.1232291948428649,-0.1232291948428649
morph_tags:Degree=Cmp,0.12262894198308047,-0.12262894198308047
pos_bigrams:PUNCT AUX,-0.1226172398412921,0.1226172398412921
func_words:bad,0.12185053651743105,-0.12185053651743105
pos_bigrams:ADJ NOUN,-0.12108355389415365,0.12108355389415365
sentences:parenthetical,-0.12056650995601988,0.12056650995601988
pos_bigrams:PRON X,0.1200013927604045,-0.1200013927604045
morph_tags:Person=1,0.11987653155868763,-0.11987653155868763
dep_labels:csubjpass,0.11920770063941866,-0.11920770063941866
func_words:obvious,0.11823269987265363,-0.11823269987265363
pos_bigrams:SCONJ SCONJ,-0.1178068075222818,0.1178068075222818
morph_tags:Polarity=Neg,0.11774595049437632,-0.11774595049437632
pos_bigrams:NUM SCONJ,0.11763515483387509,-0.11763515483387509
func_words:themselves,0.11743064904114785,-0.11743064904114785
morph_tags:Reflex=Yes,-0.11640570456444438,0.11640570456444438
func_words:doing,0.1163977450932407,-0.1163977450932407
pos_bigrams:AUX AUX,0.1160202248919112,-0.1160202248919112
func_words:above,0.11583535496510183,-0.11583535496510183
func_words:will,0.11559124185104176,-0.11559124185104176
pos_bigrams:ADJ SCONJ,-0.11408753994635673,0.11408753994635673
pos_bigrams:INTJ AUX,0.11403803259018022,-0.11403803259018022
func_words:towards,-0.11394730268581717,0.11394730268581717
func_words:far,0.11384548699999522,-0.11384548699999522
pos_bigrams:NUM INTJ,0.1134621865933884,-0.1134621865933884
dep_labels:meta,0.11342970596862532,-0.11342970596862532
pos_unigrams:SCONJ,0.11339654256984627,-0.11339654256984627
func_words:further,-0.11324579625963554,0.11324579625963554
func_words:yourself,-0.11299626639451663,0.11299626639451663
morph_tags:PronType=Prs,0.11268438135330719,-0.11268438135330719
func_words:probably,0.11226647602772068,-0.11226647602772068
pos_bigrams:SCONJ ADJ,-0.11200646250693372,0.11200646250693372
func_words:that,0.11156032245744664,-0.11156032245744664
morph_tags:Poss=Yes,-0.11101942780896976,0.11101942780896976
pos_bigrams:PROPN ADP,0.11054956303328785,-0.11054956303328785
pos_bigrams:ADP VERB,-0.11033666203545282,0.11033666203545282
pos_bigrams:ADP PROPN,0.11016230903882286,-0.11016230903882286
pos_bigrams:INTJ ADJ,0.1101161457073656,-0.1101161457073656
morph_tags:PronType=Rel,-0.10914681569226425,0.10914681569226425
func_words:having,0.10910438954358143,-0.10910438954358143
func_words:outside,0.10756271851721445,-0.10756271851721445
pos_bigrams:PUNCT ADV,-0.10712492487257436,0.10712492487257436
pos_bigrams:NUM SYM,-0.10679057000673027,0.10679057000673027
func_words:across,-0.10645668646824522,0.10645668646824522
dep_labels:case,0.10519854028282556,-0.10519854028282556
func_words:should,0.1040825101391765,-0.1040825101391765
pos_bigrams:INTJ PRON,0.10336892277480739,-0.10336892277480739
pos_bigrams:ADV AUX,0.10319659116766153,-0.10319659116766153
func_words:today,-0.1027416065674526,0.1027416065674526
pos_bigrams:X PRON,0.10240007892204842,-0.10240007892204842
pos_bigrams:INTJ X,0.10234088004952382,-0.10234088004952382
pos_bigrams:SCONJ ADV,-0.10215467959609752,0.10215467959609752
pos_bigrams:NUM ADV,0.10158422830264383,-0.10158422830264383
func_words:soon,-0.09939655302815344,0.09939655302815344
pos_bigrams:X X,0.09936805978575919,-0.09936805978575919
pos_bigrams:DET VERB,-0.09920815280822734,0.09920815280822734
pos_bigrams:ADJ NUM,0.09880274414616369,-0.09880274414616369
morph_tags:NumType=Ord,-0.09858870121862992,0.09858870121862992
pos_bigrams:SYM NUM,-0.09768617245992879,0.09768617245992879
func_words:their,-0.09756868228493615,0.09756868228493615
pos_bigrams:NOUN X,0.09752117400783941,-0.09752117400783941
pos_bigrams:ADV NOUN,-0.09688523009935134,0.09688523009935134
pos_bigrams:DET INTJ,0.09675298744810845,-0.09675298744810845
pos_bigrams:PROPN X,0.09658125941987455,-0.09658125941987455
pos_bigrams:PRON PRON,0.09642426267618616,-0.09642426267618616
dep_labels:prep,0.09608823087822402,-0.09608823087822402
func_words:somewhat,0.09568671491825095,-0.09568671491825095
pos_bigrams:ADP INTJ,0.09538078851260821,-0.09538078851260821
pos_bigrams:PRON DET,0.09442769842337684,-0.09442769842337684
func_words:inside,0.09417393227282368,-0.09417393227282368
func_words:down,0.09358999212205858,-0.09358999212205858
pos_bigrams:PROPN VERB,0.09335315362431112,-0.09335315362431112
pos_bigrams:ADJ X,0.09326016128405024,-0.09326016128405024
pos_bigrams:ADP PUNCT,-0.09270215843462741,0.09270215843462741
func_words:upon,0.09263059852760214,-0.09263059852760214
morph_tags:PunctType=Quot,0.0922623632590181,-0.0922623632590181
func_words:after,0.09213518790032375,-0.09213518790032375
pos_bigrams:DET PRON,0.09206253656897341,-0.09206253656897341
func_words:old,0.09162258339284414,-0.09162258339284414
pos_bigrams:DET X,0.09083978104336181,-0.09083978104336181
pos_bigrams:PART ADP,-0.09054186236279417,0.09054186236279417
pos_bigrams:NUM ADP,0.09033561911284638,-0.09033561911284638
dep_labels:nsubj,0.09029686281447612,-0.09029686281447612
pos_bigrams:PROPN AUX,-0.08893710038191369,0.08893710038191369
pos_bigrams:PRON NOUN,-0.08865353119071591,0.08865353119071591
func_words:impossible,-0.0883711070532056,0.0883711070532056
func_words:won,-0.08703648215146055,0.08703648215146055
func_words:yourselves,-0.08614053907579161,0.08614053907579161
pos_bigrams:PROPN PRON,0.08593324527152138,-0.08593324527152138
pos_bigrams:AUX ADP,0.0859040063319278,-0.0859040063319278
pos_bigrams:ADP SYM,0.08497677455196445,-0.08497677455196445
func_words:ma,0.08494040434980579,-0.08494040434980579
func_words:quite,-0.0847440935414376,0.0847440935414376
func_words:ok,0.08454136349542574,-0.08454136349542574
dep_labels:intj,0.08438546801610992,-0.08438546801610992
pos_bigrams:NOUN ADJ,-0.0830220596101397,0.0830220596101397
func_words:what,-0.0813726647565384,0.0813726647565384
morph_tags:PronType=Dem,0.08134119054881205,-0.08134119054881205
pos_bigrams:X PROPN,-0.08127771451753404,0.08127771451753404
func_words:first,0.08104190920180024,-0.08104190920180024
func_words:small,-0.08053246246544554,0.08053246246544554
pos_bigrams:VERB PUNCT,-0.08009350401328229,0.08009350401328229
pos_bigrams:CCONJ AUX,0.07939912952183378,-0.07939912952183378
func_words:its,0.0788894340896019,-0.0788894340896019
pos_bigrams:CCONJ PROPN,0.07807927497445027,-0.07807927497445027
pos_bigrams:SCONJ PRON,0.0780721057442287,-0.0780721057442287
func_words:hers,-0.07737794770876368,0.07737794770876368
pos_bigrams:DET ADJ,-0.0772540970865248,0.0772540970865248
dep_labels:oprd,-0.07681713466700765,0.07681713466700765
pos_bigrams:NOUN AUX,-0.07629272292548595,0.07629272292548595
func_words:until,0.07622668233187668,-0.07622668233187668
pos_bigrams:DET PUNCT,0.07601617885959944,-0.07601617885959944
pos_bigrams:PROPN CCONJ,0.07599284074470128,-0.07599284074470128
pos_bigrams:VERB VERB,0.0753937997229766,-0.0753937997229766
pos_bigrams:ADV INTJ,0.07528440421153951,-0.07528440421153951
pos_bigrams:INTJ CCONJ,-0.07490147144967439,0.07490147144967439
func_words:or,0.07467217550985143,-0.07467217550985143
pos_bigrams:ADJ ADV,-0.07405763382800618,0.07405763382800618
func_words:off,0.0740229779175057,-0.0740229779175057
pos_bigrams:SYM VERB,0.07320165594659181,-0.07320165594659181
dep_labels:cc,0.07220906075810829,-0.07220906075810829
pos_bigrams:CCONJ ADP,0.07181942660068458,-0.07181942660068458
morph_tags:NumType=Mult,-0.0714114716196567,0.0714114716196567
func_words:whose,-0.07125879385430081,0.07125879385430081
pos_bigrams:PART PRON,-0.07119397906207897,0.07119397906207897
func_words:too,0.07059909235989964,-0.07059909235989964
dep_labels:attr,-0.07021798356567445,0.07021798356567445
pos_bigrams:ADV PART,0.06985100294751266,-0.06985100294751266
dep_labels:acomp,-0.06949031124818147,0.06949031124818147
func_words:false,0.0694430636614199,-0.0694430636614199
pos_bigrams:PRON ADP,0.06907459767430885,-0.06907459767430885
pos_bigrams:NOUN PUNCT,-0.06904255830255086,0.06904255830255086
pos_bigrams:CCONJ ADV,-0.06803636409190149,0.06803636409190149
func_words:sort,0.06790122129057392,-0.06790122129057392
pos_bigrams:PART PROPN,0.06771236670189806,-0.06771236670189806
func_words:last,0.06702261942676734,-0.06702261942676734
pos_bigrams:NOUN PRON,-0.06685312928003394,0.06685312928003394
pos_bigrams:ADJ AUX,0.0666453949700203,-0.0666453949700203
pos_bigrams:X ADJ,0.06609696109161894,-0.06609696109161894
morph_tags:Degree=Sup,-0.0652987981323424,0.0652987981323424
pos_bigrams:SCONJ INTJ,0.064771382980071,-0.064771382980071
func_words:own,0.06444970173912308,-0.06444970173912308
func_words:even,0.06351330959078783,-0.06351330959078783
pos_bigrams:VERB AUX,-0.06329759420985995,0.06329759420985995
dep_labels:appos,0.06323985013377027,-0.06323985013377027
pos_bigrams:ADP PART,-0.06320459568981526,0.06320459568981526
pos_bigrams:INTJ SCONJ,0.06317990801012795,-0.06317990801012795
func_words:them,0.06302809551660238,-0.06302809551660238
pos_bigrams:ADJ INTJ,0.06298359746249374,-0.06298359746249374
pos_bigrams:DET SCONJ,0.0627194271922473,-0.0627194271922473
pos_bigrams:ADP PRON,0.06229032011310528,-0.06229032011310528
func_words:clear,0.06221039411495526,-0.06221039411495526
pos_bigrams:PART X,0.062200025966323326,-0.062200025966323326
pos_bigrams:INTJ NUM,-0.061816917787272295,0.061816917787272295
pos_bigrams:NUM AUX,0.061595835954312485,-0.061595835954312485
morph_tags:VerbType=Mod,-0.061286248633764244,0.061286248633764244
pos_bigrams:SYM ADP,0.060949090246176355,-0.060949090246176355
pos_bigrams:NOUN ADP,0.06088683286368168,-0.06088683286368168
pos_bigrams:PART INTJ,0.0608069595633111,-0.0608069595633111
func_words:right,-0.06071641436497145,0.06071641436497145
morph_tags:ConjType=Cmp,0.0606800045278645,-0.0606800045278645
morph_tags:VerbForm=Ger,0.060300593113788326,-0.060300593113788326
func_words:me,0.05984539866547579,-0.05984539866547579
